file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\PartitionGroup.java,io.mycat.PartitionGroup,class,3,11,8,3,2,1,0,1,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,7,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\factory\TopNSortFactory.java,io.ordinate.engine.factory.TopNSortFactory,class,6,7,1,6,3,1,0,3,0,0.0,1.0,1.0,3,1,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,1,15,2,0,0,0,0,0,0,3,0,3,0,0,0,0,16,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\hint\DropClusterHint.java,io.mycat.hint.DropClusterHint,class,3,5,2,3,5,2,0,6,8,0.6,0.1,0.1,5,2,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,24,4,0,0,0,0,2,0,4,0,4,0,0,0,0,14,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,class,2,2,0,2,22,1,0,0,0,0.071428575,0.9047619,0.9047619,21,0,21,0,0,0,21,0,0,0,2,0,0,0,0,2,0,0,0,86,0,0,0,0,0,0,1,21,0,2,0,0,0,0,35,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\assemble\MycatTest.java,io.mycat.assemble.MycatTest,interface,6,65,59,6,12,1,0,34,60,0.94047624,0.045454547,0.045454547,12,0,10,0,0,2,12,0,0,0,7,0,0,0,0,7,0,0,14,75,9,0,0,1,0,24,1,15,2,19,1,1,0,4,93,1,3
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\physical\MycatTableLookupValues.java,io.mycat.calcite.physical.MycatTableLookupValues$Anonymous1,anonymous,2,2,0,2,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,2,0,0,0,0,1,0,1,2,0,0,0,8,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\router\src\test\java\io\mycat\router\mycat1xfunction\PartitionByDateExTest.java,io.mycat.router.mycat1xfunction.PartitionByDateExTest,class,2,2,0,2,46,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,45,0,0,89,47,3,0,3,0,0,0,0,11,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\string\LowerFunctionFactory.java,io.ordinate.engine.function.string.LowerFunctionFactory$Func,innerclass,3,3,0,3,5,2,0,5,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,1,20,4,0,0,0,0,0,0,3,0,3,1,0,0,0,14,26,0
C:\Users\Acer\Desktop\cloned\Mycat2\replica\src\main\java\io\mycat\replica\heartbeat\DatasourceEnum.java,io.mycat.replica.heartbeat.DatasourceEnum,enum,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,4,1,0,1,0,0,0,0,17,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\sqlhandler\ddl\SQLDropFunctionHandler.java,io.mycat.sqlhandler.ddl.SQLDropFunctionHandler,class,8,9,1,8,3,2,0,7,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,1,0,1,2,0,2,1,2,2,0,0,0,21,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,class,17,19,2,17,7,2,0,36,0,0.52272725,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,11,0,0,1,0,10,0,0,2,77,1,1,0,0,0,11,3,20,3,25,2,0,0,3,54,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\config\src\main\java\io\mycat\config\DatasourceRootConfig.java,io.mycat.config.DatasourceRootConfig,class,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,3,0,0,0,0,9,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\string\MakeSetFactory.java,io.ordinate.engine.function.string.MakeSetFactory,class,5,5,0,5,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,0,1,0,0,0,0,0,0,1,0,13,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,class,10,12,2,10,225,1,0,59,19236,0.9830796,0.0018129079,0.0034704236,197,0,197,0,0,0,197,0,0,0,12,0,0,12,0,0,1,0,5,644,110,2,13,0,2,2,24,38,3,24,4,0,0,0,145,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\lt\LtDoubleFunctionFactory.java,io.ordinate.engine.function.lt.LtDoubleFunctionFactory,class,7,7,0,7,2,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,1,2,0,0,0,0,0,1,0,13,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\Function.java,io.ordinate.engine.function.Function,interface,7,286,279,7,70,1,0,39,946,0.0,0.0,0.0,44,0,4,0,0,40,44,0,0,0,0,0,0,0,0,0,0,0,2,210,26,2,0,0,0,1,1,24,1,3,1,0,0,0,61,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\vertx\VertxMySQLPacketResolver.java,io.mycat.vertx.VertxMySQLPacketResolver,class,6,8,2,6,16,1,0,9,1,0.5833334,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,8,0,0,1,0,7,0,0,2,89,3,2,6,0,4,1,15,31,6,17,3,0,1,0,50,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\cast\CastDatetimeToByteFunctionFactory.java,io.ordinate.engine.function.cast.CastDatetimeToByteFunctionFactory$Func,innerclass,3,3,0,3,5,2,0,2,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,1,0,1,1,0,0,19,4,0,0,0,0,0,1,4,0,3,1,0,0,0,13,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\ByteFunction.java,io.ordinate.engine.function.ByteFunction,class,3,29,26,3,11,1,26,1,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1025,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\hbt\ast\modify\ModifyFromSql.java,io.mycat.hbt.ast.modify.ModifyFromSql,class,4,9,5,4,2,3,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,12,0,0,0,0,0,0,0,2,0,2,0,0,0,0,23,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\internalexample\src\test\java\io.mycat.drdsrunner\AllShardingJoinTest.java,io.mycat.drdsrunner.AllShardingJoinTest,class,15,16,1,15,30,2,0,24,351,0.0,0.0,0.0,27,4,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,28,165,3,1,0,0,1,68,2,39,1,35,2,1,0,0,93,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\UnsolvedMysqlFunctionUtil.java,io.mycat.calcite.UnsolvedMysqlFunctionUtil$Fun,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\DrdsSqlCompiler.java,io.mycat.DrdsSqlCompiler,class,79,83,4,79,59,1,0,127,164,0.91499996,0.2,0.38181818,20,2,11,9,0,0,11,0,0,0,10,7,5,4,0,1,4,0,19,425,38,6,2,1,6,2,13,131,0,120,5,3,2,6,186,1,4
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\hint\ShowSchemasHint.java,io.mycat.hint.ShowSchemasHint,class,1,1,0,1,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\sqlfunction\mathfunction\RandFunction.java,io.mycat.calcite.sqlfunction.mathfunction.RandFunction,class,6,7,1,6,5,2,0,9,6,1.0,0.0,0.0,4,2,4,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,2,22,3,0,0,0,0,3,0,3,0,2,1,0,0,0,26,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\sqlhandler\config\DbKVImpl.java,io.mycat.sqlhandler.config.DbKVImpl,class,5,6,1,5,7,1,0,19,0,0.22222222,1.0,1.0,6,0,6,0,0,0,6,0,0,0,3,0,0,1,0,2,2,0,13,43,4,0,1,0,1,0,0,12,0,14,1,0,0,2,30,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\cast\CastDatetimeToBooleanFunctionFactory.java,io.ordinate.engine.function.cast.CastDatetimeToBooleanFunctionFactory,class,6,6,0,6,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,1,1,0,0,0,0,0,1,0,15,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\rules\MycatWinodwRule.java,io.mycat.calcite.rules.MycatWinodwRule,class,8,9,1,8,2,2,0,7,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,13,1,0,0,0,0,1,0,5,0,6,0,0,0,1,31,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\sqlhandler\dcl\RollbackSQLHandler.java,io.mycat.sqlhandler.dcl.RollbackSQLHandler,class,6,7,1,6,2,2,0,6,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,2,0,2,1,0,0,0,16,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\cast\CastCharToDoubleFunctionFactory.java,io.ordinate.engine.function.cast.CastCharToDoubleFunctionFactory,class,6,6,0,6,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,1,1,0,0,0,0,0,1,0,14,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\builder\ExecuteCompiler.java,io.ordinate.engine.builder.ExecuteCompiler$JoinImpl,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\time\AddTimeFunctionFactory.java,io.ordinate.engine.function.time.AddTimeFunctionFactory,class,5,5,0,5,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,1,0,0,0,0,0,0,1,0,13,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\sqlhandler\ddl\CreateViewSQLHandler.java,io.mycat.sqlhandler.ddl.CreateViewSQLHandler$Anonymous1,anonymous,10,10,0,10,5,1,0,43,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,47,2,0,0,3,0,1,1,18,0,17,4,0,0,1,44,-1,1
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\mycatmysql\MycatVertxMysqlSession.java,io.mycat.mycatmysql.MycatVertxMysqlSession,class,4,6,2,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\vertxmycat\RowSetQuery.java,io.mycat.vertxmycat.RowSetQuery$Anonymous2,anonymous,5,5,0,5,5,1,0,19,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,4,0,4,0,6,1,0,0,2,22,-1,4
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\vertxmycat\RowSetQuery.java,io.mycat.vertxmycat.RowSetQuery$Anonymous3,anonymous,2,2,0,2,4,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,2,0,0,0,0,1,0,0,0,18,-1,1
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\vector\VectorExpression.java,io.ordinate.engine.vector.VectorExpression,interface,2,7,5,2,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\ViewRel.java,io.mycat.calcite.ViewRel,interface,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\MetaDataConfig.java,io.mycat.MetaDataConfig,class,2,2,0,2,4,1,0,21,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,186,0,1,1,3,0,13,1,17,1,16,4,0,11,1,59,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\sequoiadb\SequoiaPreparedStatement.java,io.mycat.datasource.jdbc.sequoiadb.SequoiaPreparedStatement,class,5,7,2,5,58,2,0,14,1592,0.97076017,0.0012531328,0.0018796993,57,0,57,0,0,0,57,0,0,0,3,0,0,0,0,3,2,0,7,146,5,1,0,0,0,0,0,3,0,3,1,0,0,0,83,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\sqlhandler\dql\MySQLCheckHandler.java,io.mycat.sqlhandler.dql.MySQLCheckHandler$Each,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,8,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\vertxmycat\RowSetQuery.java,io.mycat.vertxmycat.RowSetQuery$Anonymous1,anonymous,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\xa\XaLogImplTest.java,io.mycat.xa.XaLogImplTest,class,12,13,1,12,20,1,0,31,10,0.5,0.7777778,0.7777778,12,0,9,3,0,0,9,0,0,0,3,3,3,0,0,0,3,0,25,215,1,1,0,7,0,35,3,32,1,32,2,0,0,0,83,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\cast\CastDatetimeToIntFunctionFactory.java,io.ordinate.engine.function.cast.CastDatetimeToIntFunctionFactory$Func,innerclass,3,3,0,3,5,2,0,2,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,1,0,1,1,0,0,19,4,0,0,0,0,0,1,3,0,3,1,0,0,0,12,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\logical\LocalToMycatRelConverter.java,io.mycat.calcite.logical.LocalToMycatRelConverter,class,10,12,2,10,4,2,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,1,0,0,0,0,0,0,27,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\cast\CastShortToFloatFunctionFactory.java,io.ordinate.engine.function.cast.CastShortToFloatFunctionFactory$Func,innerclass,3,3,0,3,5,2,0,2,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,1,0,1,1,0,0,19,4,0,0,0,0,0,1,3,0,3,1,0,0,0,13,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\cast\CastByteToFloatFunctionFactory.java,io.ordinate.engine.function.cast.CastByteToFloatFunctionFactory,class,6,6,0,6,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,1,1,0,0,0,0,0,1,0,15,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\seata\src\main\java\io\mycat\SeataMycatCore.java,io.mycat.SeataMycatCore,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
