file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\PartitionGroup.java,io.mycat.PartitionGroup,get/1[java.lang.String],map,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\PartitionGroup.java,io.mycat.PartitionGroup,"PartitionGroup/2[java.lang.String,java.util.Map<java.lang.String,io.mycat.Partition>]",targetName,3
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\PartitionGroup.java,io.mycat.PartitionGroup,"PartitionGroup/2[java.lang.String,java.util.Map<java.lang.String,io.mycat.Partition>]",map,3
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\factory\TopNSortFactory.java,io.ordinate.engine.factory.TopNSortFactory,"TopNSortFactory/2[io.ordinate.engine.factory.MycatTopN,io.ordinate.engine.factory.Factory]",mycatRel,3
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\factory\TopNSortFactory.java,io.ordinate.engine.factory.TopNSortFactory,"TopNSortFactory/2[io.ordinate.engine.factory.MycatTopN,io.ordinate.engine.factory.Factory]",inputFactory,3
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\factory\TopNSortFactory.java,io.ordinate.engine.factory.TopNSortFactory,create/1[io.ordinate.engine.factory.ComplierContext],mycatRel,1
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\factory\TopNSortFactory.java,io.ordinate.engine.factory.TopNSortFactory,create/1[io.ordinate.engine.factory.ComplierContext],inputFactory,1
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\factory\TopNSortFactory.java,io.ordinate.engine.factory.TopNSortFactory,"of/2[io.ordinate.engine.factory.MycatTopN,io.ordinate.engine.factory.Factory]",mycatRel,2
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\factory\TopNSortFactory.java,io.ordinate.engine.factory.TopNSortFactory,"of/2[io.ordinate.engine.factory.MycatTopN,io.ordinate.engine.factory.Factory]",inputFactory,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\hint\DropClusterHint.java,io.mycat.hint.DropClusterHint,build/0,config,1
