file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-security\yami-shop-security-common\src\main\java\com\yami\shop\security\common\adapter\DefaultAuthConfigAdapter.java,com.yami.shop.security.common.adapter.DefaultAuthConfigAdapter,DefaultAuthConfigAdapter/0,logger,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,getUserPermissions/1[java.lang.Long],sysUserService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,getUserPermissions/1[java.lang.Long],sysMenuService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],sysUserService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],passwordManager,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],tokenStore,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],captchaService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],passwordCheckManager,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-common\src\main\java\com\yami\shop\common\util\PageAdapter.java,com.yami.shop.common.util.PageAdapter,PageAdapter/1[com.yami.shop.common.util.Page],size,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-common\src\main\java\com\yami\shop\common\util\PageAdapter.java,com.yami.shop.common.util.PageAdapter,PageAdapter/1[com.yami.shop.common.util.Page],begin,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],basketService,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],applicationContext,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],orderService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],userAddrService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],basketService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],skuService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],orderService,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],productService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,getTopNoticeList/0,noticeService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,getNoticeById/1[java.lang.Long],noticeService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,pageNotice/1[com.yami.shop.common.util.PageParam<com.yami.shop.bean.app.dto.NoticeDto>],noticeService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\DeliveryController.java,com.yami.shop.api.controller.DeliveryController,checkDelivery/1[java.lang.String],deliveryService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\DeliveryController.java,com.yami.shop.api.controller.DeliveryController,checkDelivery/1[java.lang.String],orderService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-security\yami-shop-security-common\src\main\java\com\yami\shop\security\common\dto\RefreshTokenDTO.java,com.yami.shop.security.common.dto.RefreshTokenDTO,getRefreshToken/0,refreshToken,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-security\yami-shop-security-common\src\main\java\com\yami\shop\security\common\dto\RefreshTokenDTO.java,com.yami.shop.security.common.dto.RefreshTokenDTO,setRefreshToken/1[java.lang.String],refreshToken,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-security\yami-shop-security-common\src\main\java\com\yami\shop\security\common\dto\RefreshTokenDTO.java,com.yami.shop.security.common.dto.RefreshTokenDTO,toString/0,refreshToken,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,listRoleIdByUserId/1[java.lang.Long],sysRoleMapper,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,deleteBatch/1[java.lang.Long[]],sysRoleMapper,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,deleteBatch/1[java.lang.Long[]],sysUserRoleMapper,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,deleteBatch/1[java.lang.Long[]],sysRoleMenuMapper,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,updateRoleAndRoleMenu/1[com.yami.shop.sys.model.SysRole],sysRoleMapper,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,updateRoleAndRoleMenu/1[com.yami.shop.sys.model.SysRole],sysRoleMenuMapper,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,saveRoleAndRoleMenu/1[com.yami.shop.sys.model.SysRole],sysRoleMenuMapper,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,save/1[com.yami.shop.bean.model.Message],messageService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,update/1[com.yami.shop.bean.model.Message],messageService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,"page/2[com.yami.shop.bean.model.Message,com.yami.shop.common.util.PageParam<com.yami.shop.bean.model.Message>]",messageService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,release/1[java.lang.Long],messageService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,delete/1[java.lang.Long[]],messageService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,cancel/1[java.lang.Long],messageService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,info/1[java.lang.Long],messageService,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-service\src\main\java\com\yami\shop\service\impl\BasketServiceImpl.java,com.yami.shop.service.impl.BasketServiceImpl,updateShopCartItem/1[com.yami.shop.bean.model.Basket],basketMapper,1
