file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,getUserPermissions/1[java.lang.Long],menuList,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,getUserPermissions/1[java.lang.Long],permsList,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,getUserPermissions/1[java.lang.Long],perms,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,getUserPermissions/1[java.lang.Long],userId,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],decryptPassword,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],captchaAuthenticationDTO,4
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],response,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],tokenInfoVO,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],userInfoInToken,7
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],captchaVO,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\AdminLoginController.java,com.yami.shop.admin.controller.AdminLoginController,login/1[com.yami.shop.security.admin.dto.CaptchaAuthenticationDTO],sysUser,8
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-common\src\main\java\com\yami\shop\common\util\PageAdapter.java,com.yami.shop.common.util.PageAdapter,PageAdapter/1[com.yami.shop.common.util.Page],startEnd,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-common\src\main\java\com\yami\shop\common\util\PageAdapter.java,com.yami.shop.common.util.PageAdapter,PageAdapter/1[com.yami.shop.common.util.Page],page,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],actualTotal,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],shopCartItemDiscounts,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],discountShopCartItems,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],orderParam,4
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],userAddr,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],shopCartItems,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],totalCount,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],shopCartOrder,9
